sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
067-025A;2278.82;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;68.711;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638977.696;6169620.584;-58.48481525;-34.60976372;0.030152008
067-037D;1606.39;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;48.43588;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639012.316;6169635.375;-58.48444034;-34.60962574;0.030152005
067-037C;1482.89;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;44.71211;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639037.785;6169646.206;-58.48416453;-34.60952469;0.030152007
067-059B;6542.12;843;372;0;0;1;0;RESIDENCIAL ABIERTO;5;306.03497;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639411.636;6169625.07;-58.48008649;-34.60966445;0.046779174
067-037B;1345.63;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;40.57345;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639063.313;6169656.993;-58.48388808;-34.60942403;0.030152011
067-037A;2561.12;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;77.22291;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639097.979;6169671.747;-58.48351267;-34.60928638;0.030152008
067-048B;5389.85;672;281;0;0;0;0;RESIDENCIAL ABIERTO;5;161.75782;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639226.106;6169660.426;-58.48211438;-34.60937103;0.030011562
067-060A;6063.09;672;281;0;0;0;0;RESIDENCIAL ABIERTO;5;181.9628;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639375.059;6169682.091;-58.4804945;-34.60915559;0.030011562
067-049;4583.87;672;281;0;0;0;0;RESIDENCIAL ABIERTO;5;137.5691;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639186.911;6169709.228;-58.48254956;-34.60893657;0.030011562
067-061;779.34;672;281;0;0;0;0;RESIDENCIAL ABIERTO;5;23.38921;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639286.434;6169751.613;-58.48147182;-34.60854113;0.030011561
067-060B;5575.22;672;281;0;0;0;0;RESIDENCIAL ABIERTO;5;167.32106;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639343.151;6169731.045;-58.4808503;-34.60871878;0.030011562
079-074;5370.29;847;322;0;0;0;0;RESIDENCIAL ABIERTO;5;107.16195;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639160.323;6168026.507;-58.48256334;-34.62410357;0.019954593
079-075;5003.42;1175;408;0;0;0;0;RESIDENCIAL ABIERTO;5;93.8619;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639091.183;6168092.02;-58.48332778;-34.6235226;0.018759548
079-087;7938.9;847;322;0;0;0;0;RESIDENCIAL ABIERTO;5;158.41751;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639242.235;6168081.214;-58.48167942;-34.62359948;0.019954592
079-088;5399.79;847;322;0;0;0;0;RESIDENCIAL ABIERTO;5;107.75061;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639161.437;6168159.559;-58.48257303;-34.62290446;0.019954593
079-100;15434.24;847;322;0;0;0;0;RESIDENCIAL ABIERTO;5;307.98396;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639340.539;6168147.646;-58.48061874;-34.6229875;0.019954592
