sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
067-099;10988.35;653;232;9328.58;1;0;0;RESIDENCIAL ABIERTO;5;201.10208;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640239.452;6169322.684;-58.47101422;-34.61227656;0.01830139
036-102;17571.34;672;347;0;0;0;0;COMERCIAL ADMINISTRATIVO;1;672;ALMAGRO - BOEDO;5;5644783.036;6169223.696;-58.42147644;-34.61253772;0.038244095
045-128;11105.18;1333;509;0;0;0;0;RESIDENCIAL ABIERTO;5;511.78758;CABALLITO;6;5643799.263;6169271.689;-58.43220679;-34.61224355;0.046085483
020-072;13816.47;622;251;2177.06;1;1;0;RESIDENCIAL ABIERTO;5;622;BALVANERA - SAN CRISTOBAL;3;5647437.119;6169226.357;-58.39255025;-34.61213595;0.045018735
045-105;17461.34;1023;457;0;0;0;0;RESIDENCIAL ABIERTO;5;513.13347;CABALLITO;6;5643479.523;6169257.102;-58.43568918;-34.61241973;0.029386832
081-107;13487.6;1045;409;1796.12;1;0;0;RESIDENCIAL ABIERTO;5;292.05276;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638201.646;6169338.4;-58.49322748;-34.61241132;0.021653427
002-023;13863.08;484;226;728.81;1;1;0;COMERCIAL ADMINISTRATIVO;1;161.54242;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5649005.736;6169207.553;-58.37545097;-34.61207888;0.011652708
028-048;12882.78;664;267;5842.33;1;0;0;RESIDENCIAL ABIERTO;5;664;BALVANERA - SAN CRISTOBAL;3;5645888.051;6169257.302;-58.40943869;-34.61207844;0.05154167
067-068;13689.07;791;306;0;0;0;0;RESIDENCIAL ABIERTO;5;259.37622;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639762.082;6169333.721;-58.47621902;-34.61224221;0.018947687
081-043;12658.18;851;298;0;0;0;0;RESIDENCIAL ABIERTO;5;148.8338;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;5637444.248;6169367.364;-58.50148736;-34.61225202;0.011757915
081-006B;7567.32;807;323;0;0;0;0;RESIDENCIAL ABIERTO;5;176.58833;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636959.146;6169392.437;-58.50677874;-34.61209092;0.02333565
017-024;8149;791;321;0;0;0;0;RESIDENCIAL ABIERTO;5;195.14261;ALMAGRO - BOEDO;5;5644167.249;6169287.338;-58.42819875;-34.61205091;0.023946817
057-090A;4822.34;591;243;0;0;0;0;RESIDENCIAL ABIERTO;5;89.72163;CABALLITO;6;5641846.995;6169330.662;-58.45349463;-34.61198378;0.018605414
057-118;11023.91;658;227;6187.3;1;0;0;RESIDENCIAL ABIERTO;5;160.51476;CABALLITO;6;5642374.798;6169306.588;-58.44773802;-34.61212763;0.014560601
012-006;12635.41;591;291;2177.06;1;0;0;RESIDENCIAL ABIERTO;5;591;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5647577.669;6169236.85;-58.39102025;-34.6120212;0.046773314
045-055;10649.59;1118;546;6187.3;1;0;0;RESIDENCIAL ABIERTO;5;1118;CABALLITO;6;5642974.562;6169295.315;-58.44119924;-34.61214585;0.104980567
045-084;6332.06;1107;509;0;0;0;0;RESIDENCIAL ABIERTO;5;534.0087;CABALLITO;6;5643244.736;6169303.745;-58.43825602;-34.61203222;0.084334119
002-032;11929.35;70;39;823.56;1;0;0;COMERCIAL ADMINISTRATIVO;1;70;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5649136.814;6169216.995;-58.37402406;-34.61197477;0.00586788
089-044B;2876.89;862;307;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;57.72692;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635388.899;6169447.483;-58.52390236;-34.61180319;0.020065738
089-018C;5099.46;842;292;0;0;0;0;RESIDENCIAL ABIERTO;5;114.74347;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635069.269;6169445.607;-58.52738586;-34.61186221;0.022501102
067-120A;5693.47;996;360;3671.97;1;0;0;RESIDENCIAL ABIERTO;5;118.86552;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640543.297;6169346.638;-58.46770651;-34.61201914;0.020877518
028-061;15330.79;909;399;5842.33;1;0;0;RESIDENCIAL ABIERTO;5;909;BALVANERA - SAN CRISTOBAL;3;5646026.479;6169263.617;-58.40793106;-34.61200185;0.059292444
